distribution,x_axis_mode,x_axis_value,mu,case,entity_id,num_nulls
Uniform,relative,1,0.9866666666666667,Worst,I3_14976,2
Uniform,relative,1,0.9666666666666667,Average,I3_14976,2
Uniform,relative,2,0.96,Worst,I3_14976,2
Uniform,relative,2,0.9533333333333334,Average,I3_14976,2
Uniform,relative,3,0.9666666666666667,Worst,I3_14976,2
Uniform,relative,3,0.98,Average,I3_14976,2
Uniform,relative,4,0.9733333333333334,Worst,I3_14976,2
Uniform,relative,4,0.9866666666666667,Average,I3_14976,2
Uniform,relative,5,0.9666666666666667,Worst,I3_14976,2
Uniform,relative,5,0.9666666666666667,Average,I3_14976,2
Uniform,relative,6,0.9866666666666667,Worst,I3_14976,2
Uniform,relative,6,0.9866666666666667,Average,I3_14976,2
Uniform,relative,7,0.9666666666666667,Worst,I3_14976,2
Uniform,relative,7,0.9866666666666667,Average,I3_14976,2
Uniform,relative,8,0.9666666666666667,Worst,I3_14976,2
Uniform,relative,8,0.98,Average,I3_14976,2
Uniform,relative,9,0.98,Worst,I3_14976,2
Uniform,relative,9,0.98,Average,I3_14976,2
Uniform,relative,10,0.9733333333333334,Worst,I3_14976,2
Uniform,relative,10,0.9666666666666667,Average,I3_14976,2
Uniform,relative,11,0.9733333333333334,Worst,I3_14976,2
Uniform,relative,11,0.9866666666666667,Average,I3_14976,2
Uniform,relative,12,0.9866666666666667,Worst,I3_14976,2
Uniform,relative,12,0.9733333333333334,Average,I3_14976,2
Uniform,relative,13,0.9666666666666667,Worst,I3_14976,2
Uniform,relative,13,0.9466666666666667,Average,I3_14976,2
Uniform,relative,14,0.9866666666666667,Worst,I3_14976,2
Uniform,relative,14,0.9466666666666667,Average,I3_14976,2
Uniform,relative,15,0.94,Worst,I3_14976,2
Uniform,relative,15,0.9666666666666667,Average,I3_14976,2
Uniform,relative,16,0.9533333333333334,Worst,I3_14976,2
Uniform,relative,16,0.9733333333333334,Average,I3_14976,2
Uniform,relative,17,0.9866666666666667,Worst,I3_14976,2
Uniform,relative,17,0.96,Average,I3_14976,2
Uniform,relative,18,0.9533333333333334,Worst,I3_14976,2
Uniform,relative,18,0.98,Average,I3_14976,2
Uniform,relative,19,0.9866666666666667,Worst,I3_14976,2
Uniform,relative,19,0.98,Average,I3_14976,2
Uniform,relative,20,0.9733333333333334,Worst,I3_14976,2
Uniform,relative,20,0.98,Average,I3_14976,2
Uniform,relative,21,0.9666666666666667,Worst,I3_14976,2
Uniform,relative,21,0.9733333333333334,Average,I3_14976,2
Uniform,relative,22,0.9533333333333334,Worst,I3_14976,2
Uniform,relative,22,0.9933333333333333,Average,I3_14976,2
Uniform,relative,23,0.9866666666666667,Worst,I3_14976,2
Uniform,relative,23,0.9733333333333334,Average,I3_14976,2
Uniform,relative,24,0.9933333333333333,Worst,I3_14976,2
Uniform,relative,24,0.98,Average,I3_14976,2
Uniform,relative,25,0.94,Worst,I3_14976,2
Uniform,relative,25,0.9866666666666667,Average,I3_14976,2
Uniform,relative,26,0.9866666666666667,Worst,I3_14976,2
Uniform,relative,26,0.96,Average,I3_14976,2
Uniform,relative,27,0.9866666666666667,Worst,I3_14976,2
Uniform,relative,27,0.9933333333333333,Average,I3_14976,2
Uniform,relative,28,0.98,Worst,I3_14976,2
Uniform,relative,28,0.98,Average,I3_14976,2
Uniform,relative,29,0.96,Worst,I3_14976,2
Uniform,relative,29,0.9333333333333333,Average,I3_14976,2
Uniform,relative,30,0.98,Worst,I3_14976,2
Uniform,relative,30,0.9866666666666667,Average,I3_14976,2
Uniform,relative,1,0.0,Worst,I2_20900,1
Uniform,relative,1,0.0,Average,I2_20900,1
Uniform,relative,2,0.0,Worst,I2_20900,1
Uniform,relative,2,0.0,Average,I2_20900,1
Uniform,relative,3,0.0,Worst,I2_20900,1
Uniform,relative,3,0.0,Average,I2_20900,1
Uniform,relative,4,0.25333333333333335,Worst,I2_20900,1
Uniform,relative,4,0.23333333333333334,Average,I2_20900,1
Uniform,relative,5,0.34,Worst,I2_20900,1
Uniform,relative,5,0.38666666666666666,Average,I2_20900,1
Uniform,relative,6,0.5533333333333333,Worst,I2_20900,1
Uniform,relative,6,0.4266666666666667,Average,I2_20900,1
Uniform,relative,7,0.5933333333333334,Worst,I2_20900,1
Uniform,relative,7,0.5466666666666666,Average,I2_20900,1
Uniform,relative,8,0.66,Worst,I2_20900,1
Uniform,relative,8,0.6666666666666666,Average,I2_20900,1
Uniform,relative,9,0.68,Worst,I2_20900,1
Uniform,relative,9,0.6466666666666666,Average,I2_20900,1
Uniform,relative,10,0.6733333333333333,Worst,I2_20900,1
Uniform,relative,10,0.6733333333333333,Average,I2_20900,1
Uniform,relative,11,0.6333333333333333,Worst,I2_20900,1
Uniform,relative,11,0.76,Average,I2_20900,1
Uniform,relative,12,0.7266666666666667,Worst,I2_20900,1
Uniform,relative,12,0.76,Average,I2_20900,1
Uniform,relative,13,0.7933333333333333,Worst,I2_20900,1
Uniform,relative,13,0.82,Average,I2_20900,1
Uniform,relative,14,0.84,Worst,I2_20900,1
Uniform,relative,14,0.7266666666666667,Average,I2_20900,1
Uniform,relative,15,0.82,Worst,I2_20900,1
Uniform,relative,15,0.7933333333333333,Average,I2_20900,1
Uniform,relative,16,0.8133333333333334,Worst,I2_20900,1
Uniform,relative,16,0.8,Average,I2_20900,1
Uniform,relative,17,0.8333333333333334,Worst,I2_20900,1
Uniform,relative,17,0.86,Average,I2_20900,1
Uniform,relative,18,0.8333333333333334,Worst,I2_20900,1
Uniform,relative,18,0.8266666666666667,Average,I2_20900,1
Uniform,relative,19,0.9,Worst,I2_20900,1
Uniform,relative,19,0.8266666666666667,Average,I2_20900,1
Uniform,relative,20,0.8133333333333334,Worst,I2_20900,1
Uniform,relative,20,0.8666666666666667,Average,I2_20900,1
Uniform,relative,21,0.88,Worst,I2_20900,1
Uniform,relative,21,0.84,Average,I2_20900,1
Uniform,relative,22,0.8666666666666667,Worst,I2_20900,1
Uniform,relative,22,0.8866666666666667,Average,I2_20900,1
Uniform,relative,23,0.8866666666666667,Worst,I2_20900,1
Uniform,relative,23,0.82,Average,I2_20900,1
Uniform,relative,24,0.9,Worst,I2_20900,1
Uniform,relative,24,0.9133333333333333,Average,I2_20900,1
Uniform,relative,25,0.8666666666666667,Worst,I2_20900,1
Uniform,relative,25,0.8333333333333334,Average,I2_20900,1
Uniform,relative,26,0.8733333333333333,Worst,I2_20900,1
Uniform,relative,26,0.9266666666666666,Average,I2_20900,1
Uniform,relative,27,0.8933333333333333,Worst,I2_20900,1
Uniform,relative,27,0.9133333333333333,Average,I2_20900,1
Uniform,relative,28,0.88,Worst,I2_20900,1
Uniform,relative,28,0.8666666666666667,Average,I2_20900,1
Uniform,relative,29,0.9266666666666666,Worst,I2_20900,1
Uniform,relative,29,0.9066666666666666,Average,I2_20900,1
Uniform,relative,30,0.8666666666666667,Worst,I2_20900,1
Uniform,relative,30,0.9,Average,I2_20900,1
Uniform,relative,1,0.0,Worst,I1_59013,1
Uniform,relative,1,0.0,Average,I1_59013,1
Uniform,relative,2,0.0,Worst,I1_59013,1
Uniform,relative,2,0.0,Average,I1_59013,1
Uniform,relative,3,0.0,Worst,I1_59013,1
Uniform,relative,3,0.0,Average,I1_59013,1
Uniform,relative,4,0.0,Worst,I1_59013,1
Uniform,relative,4,0.0,Average,I1_59013,1
Uniform,relative,5,0.0,Worst,I1_59013,1
Uniform,relative,5,0.0,Average,I1_59013,1
Uniform,relative,6,0.0,Worst,I1_59013,1
Uniform,relative,6,0.0,Average,I1_59013,1
Uniform,relative,7,0.0,Worst,I1_59013,1
Uniform,relative,7,0.0,Average,I1_59013,1
Uniform,relative,8,0.0,Worst,I1_59013,1
Uniform,relative,8,0.0,Average,I1_59013,1
Uniform,relative,9,0.0,Worst,I1_59013,1
Uniform,relative,9,0.0,Average,I1_59013,1
Uniform,relative,10,0.0,Worst,I1_59013,1
Uniform,relative,10,0.0,Average,I1_59013,1
Uniform,relative,11,0.0,Worst,I1_59013,1
Uniform,relative,11,0.0,Average,I1_59013,1
Uniform,relative,12,0.0,Worst,I1_59013,1
Uniform,relative,12,0.0,Average,I1_59013,1
Uniform,relative,13,0.0,Worst,I1_59013,1
Uniform,relative,13,0.0,Average,I1_59013,1
Uniform,relative,14,0.0,Worst,I1_59013,1
Uniform,relative,14,0.0,Average,I1_59013,1
Uniform,relative,15,0.0,Worst,I1_59013,1
Uniform,relative,15,0.0,Average,I1_59013,1
Uniform,relative,16,0.0,Worst,I1_59013,1
Uniform,relative,16,0.0,Average,I1_59013,1
Uniform,relative,17,0.0,Worst,I1_59013,1
Uniform,relative,17,0.0,Average,I1_59013,1
Uniform,relative,18,0.0,Worst,I1_59013,1
Uniform,relative,18,0.0,Average,I1_59013,1
Uniform,relative,19,0.0,Worst,I1_59013,1
Uniform,relative,19,0.0,Average,I1_59013,1
Uniform,relative,20,0.0,Worst,I1_59013,1
Uniform,relative,20,0.0,Average,I1_59013,1
Uniform,relative,21,0.0,Worst,I1_59013,1
Uniform,relative,21,0.0,Average,I1_59013,1
Uniform,relative,22,0.0,Worst,I1_59013,1
Uniform,relative,22,0.0,Average,I1_59013,1
Uniform,relative,23,0.0,Worst,I1_59013,1
Uniform,relative,23,0.0,Average,I1_59013,1
Uniform,relative,24,0.0,Worst,I1_59013,1
Uniform,relative,24,0.0,Average,I1_59013,1
Uniform,relative,25,0.0,Worst,I1_59013,1
Uniform,relative,25,0.0,Average,I1_59013,1
Uniform,relative,26,0.0,Worst,I1_59013,1
Uniform,relative,26,0.0,Average,I1_59013,1
Uniform,relative,27,0.0,Worst,I1_59013,1
Uniform,relative,27,0.0,Average,I1_59013,1
Uniform,relative,28,0.0,Worst,I1_59013,1
Uniform,relative,28,0.0,Average,I1_59013,1
Uniform,relative,29,0.0,Worst,I1_59013,1
Uniform,relative,29,0.0,Average,I1_59013,1
Uniform,relative,30,0.0,Worst,I1_59013,1
Uniform,relative,30,0.0,Average,I1_59013,1
Uniform,relative,1,0.9733333333333334,Worst,I3_32608,2
