distribution,x_axis_mode,x_axis_value,mu,case,entity_id,num_nulls
Uniform,relative,18,0.9666666666666667,Average,I4_1026,507
Uniform,relative,19,0.9533333333333334,Worst,I4_1026,507
Uniform,relative,19,0.9466666666666667,Average,I4_1026,507
Uniform,relative,20,0.96,Worst,I4_1026,507
Uniform,relative,20,0.96,Average,I4_1026,507
Uniform,relative,21,0.94,Worst,I4_1026,507
Uniform,relative,21,0.96,Average,I4_1026,507
Uniform,relative,22,0.96,Worst,I4_1026,507
Uniform,relative,22,0.9533333333333334,Average,I4_1026,507
Uniform,relative,23,0.94,Worst,I4_1026,507
Uniform,relative,23,0.9733333333333334,Average,I4_1026,507
Uniform,relative,24,0.9666666666666667,Worst,I4_1026,507
Uniform,relative,24,0.9933333333333333,Average,I4_1026,507
Uniform,relative,25,0.9733333333333334,Worst,I4_1026,507
Uniform,relative,25,0.9933333333333333,Average,I4_1026,507
Uniform,relative,26,0.9666666666666667,Worst,I4_1026,507
Uniform,relative,26,0.9866666666666667,Average,I4_1026,507
Uniform,relative,27,0.9333333333333333,Worst,I4_1026,507
Uniform,relative,27,0.96,Average,I4_1026,507
Uniform,relative,28,0.9666666666666667,Worst,I4_1026,507
Uniform,relative,28,0.94,Average,I4_1026,507
Uniform,relative,29,0.9533333333333334,Worst,I4_1026,507
Uniform,relative,29,0.98,Average,I4_1026,507
Uniform,relative,30,0.98,Worst,I4_1026,507
Uniform,relative,30,0.96,Average,I4_1026,507
Uniform,relative,1,0.36,Worst,I3_441,516
Uniform,relative,1,0.4,Average,I3_441,516
Uniform,relative,2,0.6133333333333333,Worst,I3_441,516
Uniform,relative,2,0.5733333333333334,Average,I3_441,516
Uniform,relative,3,0.6866666666666666,Worst,I3_441,516
Uniform,relative,3,0.7466666666666667,Average,I3_441,516
Uniform,relative,4,0.72,Worst,I3_441,516
Uniform,relative,4,0.7933333333333333,Average,I3_441,516
Uniform,relative,5,0.8333333333333334,Worst,I3_441,516
Uniform,relative,5,0.82,Average,I3_441,516
Uniform,relative,6,0.8333333333333334,Worst,I3_441,516
Uniform,relative,6,0.84,Average,I3_441,516
Uniform,relative,7,0.9,Worst,I3_441,516
Uniform,relative,7,0.86,Average,I3_441,516
Uniform,relative,8,0.8733333333333333,Worst,I3_441,516
Uniform,relative,8,0.8866666666666667,Average,I3_441,516
Uniform,relative,9,0.8866666666666667,Worst,I3_441,516
Uniform,relative,9,0.8,Average,I3_441,516
Uniform,relative,10,0.9266666666666666,Worst,I3_441,516
Uniform,relative,10,0.9,Average,I3_441,516
Uniform,relative,11,0.8866666666666667,Worst,I3_441,516
Uniform,relative,11,0.92,Average,I3_441,516
