distribution,x_axis_value,mu,case,entity_id
Uniform,29,0.958,Worst,26388279067560
Uniform,29,0.9695,Average,26388279067560
Uniform,30,0.9654999999999999,Worst,26388279067560
Uniform,30,0.968,Average,26388279067560
Uniform,1,0.0,Worst,10995116278652
Uniform,1,0.0,Average,10995116278652
Uniform,2,0.5205,Worst,10995116278652
Uniform,2,0.485,Average,10995116278652
Uniform,3,0.6485,Worst,10995116278652
Uniform,3,0.666,Average,10995116278652
Uniform,4,0.7575000000000001,Worst,10995116278652
Uniform,4,0.756,Average,10995116278652
Uniform,5,0.8015000000000001,Worst,10995116278652
Uniform,5,0.7939999999999999,Average,10995116278652
Uniform,6,0.8350000000000002,Worst,10995116278652
Uniform,6,0.8339999999999999,Average,10995116278652
Uniform,7,0.866,Worst,10995116278652
Uniform,7,0.8559999999999999,Average,10995116278652
Uniform,8,0.8775000000000001,Worst,10995116278652
Uniform,8,0.8765000000000001,Average,10995116278652
Uniform,9,0.8849999999999998,Worst,10995116278652
Uniform,9,0.8965000000000002,Average,10995116278652
Uniform,10,0.8995000000000001,Worst,10995116278652
Uniform,10,0.9095000000000001,Average,10995116278652
Uniform,11,0.9105000000000001,Worst,10995116278652
Uniform,11,0.9249999999999998,Average,10995116278652
Uniform,12,0.9205000000000002,Worst,10995116278652
Uniform,12,0.9155000000000001,Average,10995116278652
Uniform,13,0.9200000000000002,Worst,10995116278652
Uniform,13,0.924,Average,10995116278652
Uniform,14,0.9315,Worst,10995116278652
Uniform,14,0.9155000000000001,Average,10995116278652
Uniform,15,0.9305,Worst,10995116278652
Uniform,15,0.9349999999999999,Average,10995116278652
Uniform,16,0.9359999999999999,Worst,10995116278652
Uniform,16,0.9424999999999999,Average,10995116278652
Uniform,17,0.9410000000000001,Worst,10995116278652
Uniform,17,0.9360000000000002,Average,10995116278652
Uniform,18,0.9494999999999999,Worst,10995116278652
Uniform,18,0.9445,Average,10995116278652
Uniform,19,0.95,Worst,10995116278652
Uniform,19,0.95,Average,10995116278652
Uniform,20,0.9490000000000001,Worst,10995116278652
Uniform,20,0.952,Average,10995116278652
Uniform,21,0.9494999999999999,Worst,10995116278652
Uniform,21,0.9525,Average,10995116278652
Uniform,22,0.954,Worst,10995116278652
Uniform,22,0.9514999999999999,Average,10995116278652
Uniform,23,0.968,Worst,10995116278652
Uniform,23,0.9494999999999999,Average,10995116278652
Uniform,24,0.9565000000000001,Worst,10995116278652
Uniform,24,0.9530000000000001,Average,10995116278652
Uniform,25,0.9604999999999999,Worst,10995116278652
Uniform,25,0.9540000000000001,Average,10995116278652
Uniform,26,0.9604999999999999,Worst,10995116278652
Uniform,26,0.9614999999999998,Average,10995116278652
Uniform,27,0.9594999999999999,Worst,10995116278652
Uniform,27,0.9610000000000001,Average,10995116278652
Uniform,28,0.962,Worst,10995116278652
Uniform,28,0.9705,Average,10995116278652
Uniform,29,0.9629999999999999,Worst,10995116278652
Uniform,29,0.9605,Average,10995116278652
Uniform,30,0.9724999999999999,Worst,10995116278652
Uniform,30,0.966,Average,10995116278652
Uniform,1,0.34199999999999997,Worst,870
Uniform,1,0.35350000000000004,Average,870
Uniform,2,0.596,Worst,870
Uniform,2,0.594,Average,870
Uniform,3,0.725,Worst,870
Uniform,3,0.724,Average,870
Uniform,4,0.7675000000000001,Worst,870
Uniform,4,0.766,Average,870
Uniform,5,0.8100000000000002,Worst,870
Uniform,5,0.8175000000000001,Average,870
Uniform,6,0.85,Worst,870
Uniform,6,0.836,Average,870
Uniform,7,0.8634999999999999,Worst,870
Uniform,7,0.868,Average,870
Uniform,8,0.874,Worst,870
Uniform,8,0.8779999999999999,Average,870
Uniform,9,0.8920000000000001,Worst,870
Uniform,9,0.8995000000000001,Average,870
Uniform,10,0.8960000000000001,Worst,870
Uniform,10,0.9120000000000001,Average,870
Uniform,11,0.9090000000000001,Worst,870
Uniform,11,0.915,Average,870
Uniform,12,0.914,Worst,870
Uniform,12,0.9179999999999999,Average,870
Uniform,13,0.9265000000000001,Worst,870
Uniform,13,0.923,Average,870
Uniform,14,0.9269999999999999,Worst,870
Uniform,14,0.9259999999999999,Average,870
Uniform,15,0.942,Worst,870
